Kraj;Okres;Obec;Katastr
Středočeský kraj;Benešov;Načeradec;Zdiměřice u Načeradce
Středočeský kraj;Benešov;Nespeky;Nespeky
Středočeský kraj;Benešov;Netvořice;Dunávice
Středočeský kraj;Benešov;Netvořice;Maskovice
Středočeský kraj;Benešov;Netvořice;Netvořice
Středočeský kraj;Benešov;Netvořice;Tuchyně
Středočeský kraj;Benešov;Netvořice;Všetice
Středočeský kraj;Benešov;Neustupov;Broumovice
Středočeský kraj;Benešov;Neustupov;Dolní Borek
Středočeský kraj;Benešov;Neustupov;Jiřetice u Neustupova
Středočeský kraj;Benešov;Neustupov;Neustupov
Středočeský kraj;Benešov;Neustupov;Sedlečko u Jiřetic
Středočeský kraj;Benešov;Neveklov;Bělice
Středočeský kraj;Benešov;Neveklov;Blažim nad Vltavou
Středočeský kraj;Benešov;Neveklov;Dalešice nad Vltavou
Středočeský kraj;Benešov;Neveklov;Jablonná nad Vltavou
Středočeský kraj;Benešov;Neveklov;Mlékovice u Neveklova
Středočeský kraj;Benešov;Neveklov;Neštětice
Středočeský kraj;Benešov;Neveklov;Neveklov
Středočeský kraj;Benešov;Neveklov;Přibyšice
Středočeský kraj;Benešov;Neveklov;Zádolí u Neveklova
Středočeský kraj;Benešov;Olbramovice;Křešice u Olbramovic
Středočeský kraj;Benešov;Olbramovice;Olbramovice u Votic
Středočeský kraj;Benešov;Olbramovice;Zahradnice
Středočeský kraj;Benešov;Olbramovice;Tomice u Votic
Středočeský kraj;Benešov;Ostředek;Bělčice u Ostředka
Středočeský kraj;Benešov;Ostředek;Ostředek
Středočeský kraj;Benešov;Ostředek;Třemošnice
Středočeský kraj;Benešov;Petroupim;Petroupim
Středočeský kraj;Benešov;Poříčí nad Sázavou;Poříčí nad Sázavou
Středočeský kraj;Benešov;Postupice;Čelivo
Středočeský kraj;Benešov;Postupice;Nová Ves u Postupic
Středočeský kraj;Benešov;Postupice;Pozov
Středočeský kraj;Benešov;Postupice;Jemniště
Středočeský kraj;Benešov;Postupice;Milovanice
Středočeský kraj;Benešov;Postupice;Postupice
